# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)
0	-0.8406841	-0.0036835358	-7.28258e-12	-0.02099671	-0.0003665001	0
0	-0.837604	-0.0035358423	-2.2968138e-11	-0.019997021	-0.00034904643	0
0	-0.83444226	-0.0033867562	-9.327305e-11	-0.018997164	-0.00033159557	0
0	-0.8311959	-0.003236254	-4.5376078e-11	-0.017997265	-0.00031414456	0
0	-0.8278617	-0.0030842784	9.607404e-11	-0.016997363	-0.00029668998	0
0	-0.82443666	-0.002930776	5.994124e-11	-0.015997527	-0.0002792398	0
0	-0.8209175	-0.0027756481	3.025072e-11	-0.01499764	-0.00026178538	0
0	-0.8173006	-0.0026187988	1.7478193e-10	-0.013997896	-0.00024433422	0
0	-0.8135821	-0.0024600998	1.34447635e-11	-0.012998067	-0.00022688015	0
0	-0.80975807	-0.0022995959	8.935166e-11	-0.011998177	-0.00020942852	0
0	-0.80582416	-0.0021366556	6.8694335e-11	-0.010998293	-0.00019197667	0
0	-0.8017759	-0.0019709687	1.7114063e-10	-0.009998511	-0.00017452321	0
0	-0.79760826	-0.0018026603	-8.066858e-11	-0.008998632	-0.00015707227	0
0	-0.7933161	-0.0016310685	8.010838e-11	-0.007998764	-0.0001396199	0
0	-0.78889376	-0.0014555757	3.4452205e-11	-0.006998948	-0.00012216711	0
0	-0.78433514	-0.0012753927	-3.2491513e-11	-0.0059990883	-0.00010471426	0
0	-0.7796334	-0.0010895258	2.212784e-11	-0.0049992553	-8.726161e-05	0
0	-0.7747813	-0.00089653727	2.5208932e-12	-0.003999382	-6.980995e-05	0
0	-0.76977056	-0.0006944845	8.711086e-11	-0.0029995441	-5.235713e-05	0
0	-0.76459247	-0.00048061844	8.487007e-11	-0.001999691	-3.4904973e-05	0
0	-0.75923675	-0.0002511082	-3.1987332e-10	-0.0009998454	-1.7452487e-05	0
0	-0.75369203	-6.8924885e-07	1.5741577e-10	2.775134e-17	4.844e-19	0
0	-0.74794495	0.00027761728	1.14840686e-10	0.0009998454	1.7452487e-05	0
0	-0.7419798	0.00059286423	-1.3360733e-10	0.001999691	3.4904973e-05	0
0	-0.7357785	0.000956472	4.2575082e-11	0.0029995437	5.235713e-05	0
0	-0.72931814	0.0013878981	2.0727343e-11	0.003999382	6.980995e-05	0
0	-0.72257	0.0019278743	-2.7449725e-11	0.0049992553	8.726161e-05	0
0	-0.7154913	0.0026558356	2.1007442e-11	0.0059990883	0.00010471426	0
0	-0.70802414	0.003453517	-5.2658655e-11	0.006998948	0.00012216711	0
0	-0.6999441	0.004959191	-1.2044267e-10	0.007998764	0.0001396199	0
0	-0.6913851	0.0061303372	-5.153826e-11	0.008998632	0.00015707227	0
0	-0.68215346	0.0075638546	6.4422825e-12	0.009998511	0.00017452321	0
0	-0.6716612	0.011043899	1.20442675e-11	0.010998293	0.00019197667	0
0	-0.649796	0.016511323	-4.1454687e-11	0.011998175	0.00020942852	0
0	-0.6151902	0.016465992	-1.6077696e-10	0.012998067	0.00022688015	0
0	-0.5983262	0.016746182	-7.730739e-11	0.013997896	0.00024433422	0
0	-0.5779058	0.015810985	8.879146e-11	0.01499764	0.00026178538	0
0	-0.43650493	-0.07872546	5.3737782e-05	0.015997527	0.0002792398	0
0	-0.41816333	-0.07826256	5.3762968e-05	0.016997363	0.00029668998	0
0	-0.16616099	-0.1150072	7.8589125e-08	0.017997265	0.00031414453	0
0	-0.10516624	-0.15114169	5.3986012e-05	0.018997164	0.00033159557	0
0	0.31817842	-0.059707023	5.9175996e-05	0.019997021	0.00034904643	0
0	0.3298813	-0.060563236	2.1498176e-08	0.02099671	0.0003665001	0
0	0.34015918	-0.06107589	-1.05068025e-08	0.021996586	0.00038395333	0
0	0.44887975	-0.028526269	-0.00011053764	0.02299651	0.00040140637	0
0	0.61742914	-0.059188776	-5.3655334e-05	0.023996353	0.000418857	0
0	0.7228247	0.036011472	-1.1652128e-10	0.024996167	0.00043631005	0
0	0.77822524	0.09813281	-1.448113e-10	0.025996134	0.0004537603	0
0	0.807279	0.06686217	3.949399e-11	0.02699575	0.0004712157	0
0	0.86017007	0.0046804384	-4.9297465e-11	0.027995791	0.00048866845	0
0	0.8626847	0.0048176935	-1.9746996e-10	0.028995529	0.00050611823	0
0	0.8651384	0.0049537043	8.5150165e-11	0.02999528	0.00052357075	0
0	0.86753285	0.005088439	-1.8626599e-10	0.03099535	0.0005410271	0
0	0.8698699	0.0052218894	3.3892007e-11	0.031995054	0.0005584796	0
0	0.8721511	0.0053540617	1.5853617e-10	0.032995008	0.0005759299	0
0	0.87437826	0.005484953	-5.4339252e-11	0.033994727	0.00059337995	0
0	0.8765529	0.005614556	-1.2044267e-10	0.03499482	0.00061083195	0
0	0.8786766	0.005742891	9.4393444e-11	0.035994526	0.00062828907	0
0	0.8807507	0.0058699385	-1.08678504e-10	0.03699422	0.0006457404	0
0	0.88277686	0.005995673	-4.005419e-11	0.03799433	0.00066319114	0
0	0.88475615	0.0061201467	3.1371114e-11	0.038993895	0.0006806425	0
